warscroll_id|line|name|description|ability_type|ability_phase|condition|legend|keywords|is_reaction|
sky-sentinels|1|Hold The Bright Line|Declare: pick this unit if it is contesting a demo objective. Effect: add 1 to its control score until the end of the turn.|Control|End of Turn|Once per turn|The lamps are set in a perfect row.|Control|false|
sky-sentinels|2|Shield Chime|Declare: pick this unit when it is targeted by an attack. Effect: subtract 1 from the damage characteristic of one incoming weapon, to a minimum of 1.|Defensive|Defensive Reaction|Once per phase|A single note tells every shield where to be.|Ward|true|
cloudhook-adepts|1|Hook The Horizon|Declare: pick an enemy demo unit within 12 inches. Effect: that unit cannot finish a retreat move within 3 inches of this unit this phase.|Movement|Movement Phase|Once per turn|The line goes tight before anyone sees why.|Move|false|
cloudhook-adepts|2|Windstep|Effect: this unit can move across terrain features as if they were not there during a normal move.|Special|Passive|Passive|Every knot has a shortcut.|Move|false|
argent-fulcrum|1|Set The Measure|Declare: pick an objective wholly within 12 inches. Effect: friendly Skyforge units contesting that objective add 1 to control until your next hero phase.|Control|Hero Phase|Once per turn|The machine decides where the battle is balanced.|Control|false|
argent-fulcrum|2|Counterweight Surge|Declare: pick this unit after it makes a charge move. Effect: roll a die; on a 3+, pick one enemy unit within 1 inch to suffer D3 sample damage.|Offensive|Charge Phase|Once per turn|Momentum becomes a verdict.|Impact|false|
argent-fulcrum|3|Battle Damaged: Dragging Gears|Effect: while this unit has 7 or fewer health points remaining, subtract 1 from the attacks characteristic of its melee weapons.|Damage|Start of Battle|Passive|The engine remembers every dent.|Damage|false|
emberfen-lancers|1|Hot Marsh Sprint|Effect: this unit can run and still use shooting weapons this turn.|Movement|Movement Phase|Once per turn|Steam marks the safest road.|Move|false|
emberfen-lancers|2|Lanceflare|Declare: pick this unit after it charged. Effect: add 1 to wound rolls for its melee weapons for the rest of the turn.|Offensive|Charge Phase|Once per turn|The lance tips burn white for a heartbeat.|Charge|false|
cinder-scribes|1|Read The Ash|Declare: pick one friendly Emberfen unit wholly within 12 inches. Effect: that unit can reroll one hit roll before your next hero phase.|Special|Hero Phase|Once per turn|The ledger already knows the correction.|Order|false|
cinder-scribes|2|Footnote Of Denial|Declare: pick this unit when a visible enemy uses an ability. Effect: on a 4+, that ability has no effect on this unit.|Defensive|Defensive Reaction|Once per battle round|A careful note can ruin a dramatic moment.|Ward|true|
furnace-colossus|1|Open The Dampers|Declare: pick this unit in your hero phase. Effect: until your next hero phase, add 1 to the attacks characteristic of its melee weapons.|Offensive|Hero Phase|Once per turn|Heat becomes enthusiasm with a handle.|Power|false|
furnace-colossus|2|Pressure Wave|Declare: pick up to two enemy demo units within 3 inches. Effect: each picked unit has its move characteristic reduced by 1 until the end of the turn.|Control|Combat Phase|Once per turn|Nobody enjoys standing near the boiler.|Control|false|
furnace-colossus|3|Cinder Vent|Declare: pick this unit after it takes damage. Effect: roll a die; on a 4+, one enemy unit within 6 inches suffers 1 sample damage.|Damage|Combat Phase|Once per turn|Loose plates vent sparks in every direction.|Damage|true|
furnace-colossus|4|Battle Damaged: Cooling Core|Effect: while this unit has 8 or fewer health points remaining, subtract 2 inches from its move characteristic.|Damage|Start of Battle|Passive|The furnace still walks, but now it thinks about each step.|Damage|false|
glimmerdeep-wardens|1|Lantern Wall|Declare: pick this unit if it did not move this turn. Effect: until your next movement phase, add 1 to save rolls for this unit.|Defensive|End of Turn|Once per turn|Light makes a wall if everyone agrees.|Ward|false|
glimmerdeep-wardens|2|Measured Advance|Effect: this unit can ignore the first modifier to its move characteristic each turn.|Movement|Passive|Passive|The map is drawn on the inside of every shield.|Move|false|
prismbound-envoys|1|Diplomatic Refraction|Declare: pick this unit in your hero phase. Effect: pick one visible friendly unit within 12 inches; it can move 2 inches after this ability resolves.|Special|Hero Phase|Once per turn|A polite angle changes the whole room.|Move|false|
prismbound-envoys|2|Mirror Clause|Declare: pick this unit when it is picked as the target of a shooting attack. Effect: subtract 1 from hit rolls for that attack.|Defensive|Defensive Reaction|Once per phase|The first answer is always reflected.|Ward|true|
lantern-bastion|1|Raise The Beacon|Declare: pick one visible friendly Glimmerdeep unit. Effect: add 1 to hit rolls for that unit's shooting weapons until the end of the turn.|Shooting|Shooting Phase|Once per turn|The tower points and everyone understands.|Guide|false|
lantern-bastion|2|Anchor Lamps|Effect: enemy demo units within 6 inches cannot use abilities that would move them more than 3 inches after deployment.|Control|Passive|Passive|The light pins every shadow to the floor.|Control|false|
lantern-bastion|3|Glasswork Recalibration|Declare: pick this unit in your hero phase. Effect: heal 1 sample damage allocated to this unit.|Special|Hero Phase|Once per turn|A lens turns, and the crack becomes a line.|Heal|false|
lantern-bastion|4|Battle Damaged: Shuttered Lens|Effect: while this unit has 6 or fewer health points remaining, subtract 1 from the attacks characteristic of its ranged weapons.|Damage|Start of Battle|Passive|The beacon still shines, but only through one good pane.|Damage|false|
